Format of output
key:  value  ->  retrievedValue , collisions number Collisions
Linear total number Collisions
Quadratic total number Collisions
Double hashing total number Collisions

*** Random Order Start *** 

1544 : 3088 -> 3088, collisions 0
1544 : 3088 -> 3088, collisions 0
1544 : 3088 -> 3088, collisions 0

1826 : 3652 -> 3652, collisions 0
1826 : 3652 -> 3652, collisions 0
1826 : 3652 -> 3652, collisions 0

2703 : 5406 -> 5406, collisions 0
2703 : 5406 -> 5406, collisions 0
2703 : 5406 -> 5406, collisions 0

3812 : 7624 -> 7624, collisions 0
3812 : 7624 -> 7624, collisions 0
3812 : 7624 -> 7624, collisions 0

8282 : 16564 -> 16564, collisions 0
8282 : 16564 -> 16564, collisions 0
8282 : 16564 -> 16564, collisions 0

8078 : 16156 -> 16156, collisions 0
8078 : 16156 -> 16156, collisions 0
8078 : 16156 -> 16156, collisions 0

6752 : 13504 -> 13504, collisions 0
6752 : 13504 -> 13504, collisions 0
6752 : 13504 -> 13504, collisions 0

9739 : 19478 -> 19478, collisions 0
9739 : 19478 -> 19478, collisions 0
9739 : 19478 -> 19478, collisions 0

2863 : 5726 -> 5726, collisions 0
2863 : 5726 -> 5726, collisions 0
2863 : 5726 -> 5726, collisions 0

774 : 1548 -> 1548, collisions 0
774 : 1548 -> 1548, collisions 0
774 : 1548 -> 1548, collisions 0

6188 : 12376 -> 12376, collisions 0
6188 : 12376 -> 12376, collisions 0
6188 : 12376 -> 12376, collisions 0

4523 : 9046 -> 9046, collisions 0
4523 : 9046 -> 9046, collisions 0
4523 : 9046 -> 9046, collisions 0

8010 : 16020 -> 16020, collisions 0
8010 : 16020 -> 16020, collisions 0
8010 : 16020 -> 16020, collisions 0

754 : 1508 -> 1508, collisions 0
754 : 1508 -> 1508, collisions 0
754 : 1508 -> 1508, collisions 0

7814 : 15628 -> 15628, collisions 0
7814 : 15628 -> 15628, collisions 0
7814 : 15628 -> 15628, collisions 0

6443 : 12886 -> 12886, collisions 0
6443 : 12886 -> 12886, collisions 0
6443 : 12886 -> 12886, collisions 0

2816 : 5632 -> 5632, collisions 0
2816 : 5632 -> 5632, collisions 0
2816 : 5632 -> 5632, collisions 0

4774 : 9548 -> 9548, collisions 0
4774 : 9548 -> 9548, collisions 0
4774 : 9548 -> 9548, collisions 0

5793 : 11586 -> 11586, collisions 0
5793 : 11586 -> 11586, collisions 0
5793 : 11586 -> 11586, collisions 0

7348 : 14696 -> 14696, collisions 0
7348 : 14696 -> 14696, collisions 0
7348 : 14696 -> 14696, collisions 0

1270 : 2540 -> 2540, collisions 0
1270 : 2540 -> 2540, collisions 0
1270 : 2540 -> 2540, collisions 0

7680 : 15360 -> 15360, collisions 0
7680 : 15360 -> 15360, collisions 0
7680 : 15360 -> 15360, collisions 0

9870 : 19740 -> 19740, collisions 0
9870 : 19740 -> 19740, collisions 0
9870 : 19740 -> 19740, collisions 0

812 : 1624 -> 1624, collisions 0
812 : 1624 -> 1624, collisions 0
812 : 1624 -> 1624, collisions 0

9079 : 18158 -> 18158, collisions 0
9079 : 18158 -> 18158, collisions 0
9079 : 18158 -> 18158, collisions 0

2753 : 5506 -> 5506, collisions 4
2753 : 5506 -> 5506, collisions 6
2753 : 5506 -> 5506, collisions 4

7572 : 15144 -> 15144, collisions 0
7572 : 15144 -> 15144, collisions 0
7572 : 15144 -> 15144, collisions 0

762 : 1524 -> 1524, collisions 0
762 : 1524 -> 1524, collisions 0
762 : 1524 -> 1524, collisions 0

3615 : 7230 -> 7230, collisions 0
3615 : 7230 -> 7230, collisions 0
3615 : 7230 -> 7230, collisions 0

3814 : 7628 -> 7628, collisions 0
3814 : 7628 -> 7628, collisions 0
3814 : 7628 -> 7628, collisions 0

9456 : 18912 -> 18912, collisions 0
9456 : 18912 -> 18912, collisions 0
9456 : 18912 -> 18912, collisions 0

2927 : 5854 -> 5854, collisions 2
2927 : 5854 -> 5854, collisions 2
2927 : 5854 -> 5854, collisions 2

4928 : 9856 -> 9856, collisions 2
4928 : 9856 -> 9856, collisions 2
4928 : 9856 -> 9856, collisions 2

5957 : 11914 -> 11914, collisions 2
5957 : 11914 -> 11914, collisions 2
5957 : 11914 -> 11914, collisions 0

304 : 608 -> 608, collisions 0
304 : 608 -> 608, collisions 0
304 : 608 -> 608, collisions 0

5509 : 11018 -> 11018, collisions 0
5509 : 11018 -> 11018, collisions 0
5509 : 11018 -> 11018, collisions 0

2348 : 4696 -> 4696, collisions 0
2348 : 4696 -> 4696, collisions 0
2348 : 4696 -> 4696, collisions 0

6859 : 13718 -> 13718, collisions 0
6859 : 13718 -> 13718, collisions 0
6859 : 13718 -> 13718, collisions 0

314 : 628 -> 628, collisions 0
314 : 628 -> 628, collisions 0
314 : 628 -> 628, collisions 0

8367 : 16734 -> 16734, collisions 0
8367 : 16734 -> 16734, collisions 0
8367 : 16734 -> 16734, collisions 0

3632 : 7264 -> 7264, collisions 0
3632 : 7264 -> 7264, collisions 0
3632 : 7264 -> 7264, collisions 0

8086 : 16172 -> 16172, collisions 0
8086 : 16172 -> 16172, collisions 0
8086 : 16172 -> 16172, collisions 0

7852 : 15704 -> 15704, collisions 0
7852 : 15704 -> 15704, collisions 0
7852 : 15704 -> 15704, collisions 0

2169 : 4338 -> 4338, collisions 0
2169 : 4338 -> 4338, collisions 0
2169 : 4338 -> 4338, collisions 0

9360 : 18720 -> 18720, collisions 2
9360 : 18720 -> 18720, collisions 2
9360 : 18720 -> 18720, collisions 6

2214 : 4428 -> 4428, collisions 0
2214 : 4428 -> 4428, collisions 0
2214 : 4428 -> 4428, collisions 0

8480 : 16960 -> 16960, collisions 0
8480 : 16960 -> 16960, collisions 0
8480 : 16960 -> 16960, collisions 0

5361 : 10722 -> 10722, collisions 4
5361 : 10722 -> 10722, collisions 4
5361 : 10722 -> 10722, collisions 2

7406 : 14812 -> 14812, collisions 4
7406 : 14812 -> 14812, collisions 4
7406 : 14812 -> 14812, collisions 2

